activity_name;granular_name;volume;measurement;granular_measurement
Ручная разработка грунта под ленточный фундамент без вывоза;Разработка грунта вручную;22.0;м3;м3
Работы по установке опалубки, армированию, бетонированию фундамента и демонтажа опалубки;Установка опалубки;35.0;м3;м3
Устройство вводов водоснабжения и канализации в дом (работа и материал, необходимо выполнить до бетонирования пола);Сооружение внутренних систем канализации;1.0;м;м
Работа по обратной засыпке цоколя с уплотнением вибротрамбовкой;Обратная засыпка грунта экскаватором;1.0;м3;м3
Работа по устройству железобетонного пола (армирование и бетонирование);Устройство полов бетонных с армированием;14.0;м2;м2
Работа по устройству монолитных железобетонных балок в конструкции пола;Устройство монолитных железобетонных конструкций оснований;12.4;м3;м3
Кладка лицевого кирпича Вид 1;Кирпичная кладка;5354.0;м2;м2
Кладка выделений лицевого кирпича Вид 2 (баварская кладка на белом шве);Кирпичная кладка наружных стен;664.0;м3;м3
Устройство арок (Кладка криволинейных элементов входной группы,изготовление лекал, установка, демонтаж);Установка дефлекторов, зонтов, узлов прохода;1.7;шт;шт
Запил лицевого кирпича под углом на эркерной группе;Кирпичная кладка наружных стен;45.0;м3;м3
Кладка кирпича на перевязку плит;Укладка переходных плит;595.0;шт;шт
Кладка вентиляционных каналов из кирпича пластического формирования;Кладка наружных стен;66.0;м2;м2
Сборка и разборка лесов;Установка и разборка наружных трубчатых, инвентарных лесов;100.0;м2;м2
Работа по монтажу монолитных железобетонных балок;Устройство монолитных железобетонных конструкций оснований;2.0;м3;м3
Устройство монолитных армированных перемычек над оконными и дверными проемами в несущих стенах шириной 250 мм с опиранием на стены 250мм (установка опалубки, армирование, бетонирование).;Монтаж металлических перемычек;18.2;шт;шт
Устройство металлических перемычек в перегородках (резка, покраска, монтаж);Монтаж металлических перемычек;7.0;шт;шт
Монтаж плит перекрытия;Монтаж плит;10.0;шт;шт
Работа по монтажу монолитного участка перекрытия ( установка инвентарной опалубки, армирование и бетонирование);Устройство монолитных участков из бетона;21.5;м2;м2
Работа по устройству монолитной железобетонной лестницы;Устройство монолитных железобетонных конструкций оснований;18.0;м3;м3
Кладка лицевого кирпича Вид 1;Кирпичная кладка;4856.0;м2;м2
Кладка выделений лицевого кирпича Вид 2 (баварская кладка на белом шве);Кирпичная кладка наружных стен;817.0;м3;м3
Устройство арок (Кладка криволинейных элементов входной группы,изготовление лекал, установка, демонтаж);Установка дефлекторов, зонтов, узлов прохода;2.7;шт;шт
Запил лицевого кирпича под углом на эркерной группе;Кирпичная кладка наружных стен;44.0;м3;м3
Кладка вентиляционных каналов из кирпича пластического формования;Кирпичная кладка наружных стен;927.0;м3;м3
Кладка вентиляционных каналов из лицевого кирпича Вид 1;Кирпичная кладка наружных стен;522.0;м3;м3
Монтаж асбестоцементной трубы с утеплением в вентиляционный канал;Монтаж вентиляционных труб;1.0;стык;стык
Сборка и разборка лесов;Установка и разборка наружных трубчатых, инвентарных лесов;100.0;м2;м2
Устройство монолитных армированных перемычек над оконными и дверными проемами в несущих стенах шириной 250 мм с опиранием на стены 250мм (установка опалубки, армирование, бетонирование).;Монтаж металлических перемычек;20.8;шт;шт
Устройство металлических перемычек в перегородках (резка, покраска, монтаж);Монтаж металлических перемычек;5.5;шт;шт
Устройство мауэрлат из доски 150х50мм (в том числе монтаж гидроизоляции);Устройство гидроизоляции опор мостов;63.0;м2;м2
Устройство стропильной системы из доски 150х50мм с шагом 780мм;Установка в одноэтажных зданиях стропильных ферм;154.0;т;т
Устройство контробрешетки по скатам из бруса 25х50мм;Устройство покрытия из брусчатки и отмосток;154.0;м2;м2
Монтаж водосточной системы;Монтаж водоотводных устройств;46.0;м2;м2
Монтаж доборных элементов (планки, примыкания);Монтаж модулей, блок-боксов;230.0;шт;шт
Утепление толщиной 150мм и пароизоляция (закрывается тепловой контур);Теплоизоляция покрытий и перекрытий мин. плитами;117.0;м3;м3
Монтаж металлочерепицы;Монтаж металлоконструкций;154.0;т;т
Обшивка вентиляционных каналов профлистом С-8 с утеплением;Монтаж системы приточной вентиляции;2.0;комплект;комплект
Монтаж козырька на вентиляционную трубу;Монтаж вентиляционных труб;2.0;стык;стык
